timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts
00:00,10,2,34,42,00:00,00:00,34,0.0,00:00,12,0
timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts
00:00,41,12,94,39,00:00,00:00,94,0.0,00:00,53,0
timeOnIce,assists,goals,pim,games,powerPlayGoals,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedGoals,shortHandedTimeOnIce,plusMinus,points,shifts
00:00,19,13,79,70,5,00:00,00:00,79,0.0,1,00:00,-16,32,0
timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts
00:00,2,2,20,6,00:00,00:00,20,0.0,00:00,4,0
timeOnIce,assists,goals,pim,games,powerPlayGoals,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,gameWinningGoals,shortHandedGoals,shortHandedTimeOnIce,plusMinus,points,shifts
00:00,43,25,156,60,13,00:00,00:00,156,0.0,2,1,00:00,4,68,0
timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts
00:00,2,1,2,6,00:00,00:00,2,0.0,00:00,3,0
timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts
80:52,0,2,4,8,7,8,2,2,29:46,51:00,4,0.0,25.0,0,0,0,0,00:06,3,-3,2,104
assists,goals,pim,games,penaltyMinutes,points
6,0,12,6,12,6
timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts
1144:05,11,6,23,68,63,79,1,9,163:29,927:38,23,0.0,8.8,3,0,0,0,52:58,75,-1,17,1341
assists,goals,pim,games,powerPlayGoals,penaltyMinutes,shortHandedGoals,plusMinus,points
6,1,4,10,0,4,0,0,7
timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts
1564:48,23,10,24,138,74,111,4,11,265:25,1204:49,24,0.0,7.2,3,0,1,1,94:34,127,-7,33,1771
timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts
1573:55,24,3,51,174,73,117,0,5,206:19,1267:16,51,0.0,1.7,0,0,0,0,100:20,95,1,27,1851
timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts
1970:45,42,8,101,236,82,167,4,24,366:32,1431:16,101,100.0,3.4,2,1,0,1,172:57,109,15,50,2046
timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts
1266:46,32,10,34,142,51,83,4,15,209:04,973:00,34,0.0,7.0,3,1,1,2,84:42,86,21,42,1299
timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts
897:16,33,5,8,95,35,45,1,13,161:54,658:11,8,0.0,5.3,1,0,0,0,77:11,59,16,38,901
timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts
896:39,11,11,16,108,37,43,6,12,137:24,685:19,16,0.0,10.2,1,0,0,0,73:56,51,-8,22,937
timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts
1758:45,43,11,79,197,69,131,2,24,262:10,1304:33,79,0.0,5.6,1,0,1,1,192:02,117,12,54,1949
timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts
1913:06,51,16,66,218,71,135,5,27,282:26,1465:53,66,0.0,7.3,2,1,0,3,164:47,122,9,67,2198
timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts
1046:14,29,5,32,122,41,70,2,14,150:41,807:43,32,0.0,4.1,2,1,0,1,87:50,70,2,34,1207
timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts
1225:02,25,3,40,143,48,68,2,14,172:48,919:06,40,0.0,2.1,0,0,0,1,133:08,67,-13,28,1430
